"","means","2.5 %","97.5 %"
"3:location",3.38721503263147,3.37142350950909,3.40300655575384
"4:location",3.39458511087394,3.37775534348817,3.4114148782597
"5:location",3.45185896825228,3.433388504015,3.47032943248957
"6:location",3.41978586265206,3.40014505988936,3.43942666541477
"7:location",3.4178593292592,3.39683467310165,3.43888398541674
"8:location",3.45033440098479,3.42790392881263,3.47276487315695
"9:location",3.44311529506714,3.41925852057761,3.46697206955666
"10:location",3.40500433811097,3.3806272688486,3.42938140737334
"1:social",3.43386660439003,3.42094641629091,3.44678679248916
"2:social",3.51932888975418,3.50596682609547,3.5326909534129
"3:social",3.47383495712481,3.45905772191701,3.4886121923326
"4:social",3.47984761999735,3.46362137593557,3.49607386405914
"5:social",3.50708038676566,3.48967421643341,3.52448655709791
"6:social",3.47839131931424,3.45950141162227,3.49728122700621
"7:social",3.46228943898451,3.44230018371803,3.48227869425099
"8:social",3.45711923072404,3.43502963997392,3.47920882147417
"9:social",3.4348794451909,3.41040030318214,3.45935858719965
"10:social",3.39784781408712,3.37330062755548,3.42239500061876
"1:people",3.46969052452857,3.45778441287507,3.48159663618208
"2:people",3.55375619764049,3.54151585265982,3.56599654262117
"3:people",3.52076378146394,3.50739165182079,3.5341359111071
"4:people",3.54263090026348,3.52836327305302,3.55689852747395
"5:people",3.5771186818188,3.56115702135688,3.59308034228073
"6:people",3.55456278234963,3.5378885278759,3.57123703682336
"7:people",3.57496330304553,3.55743874080894,3.59248786528212
"8:people",3.5890425243902,3.57006491974858,3.60802012903182
"9:people",3.58857468416367,3.56808735590304,3.60906201242431
"10:people",3.52729457306868,3.50551827136312,3.54907087477424
"1:independence",3.30287697840029,3.28895540307681,3.31679855372377
"2:independence",3.45725083643981,3.44315809534906,3.47134357753055
"3:independence",3.48522648955898,3.47021727716521,3.50023570195276
"4:independence",3.53009265309045,3.5145108133651,3.54567449281579
"5:independence",3.58816977371974,3.57101386412829,3.60532568331118
"6:independence",3.57396288868149,3.55612384814609,3.59180192921689
"7:independence",3.58865552936582,3.57012160043554,3.6071894582961
"8:independence",3.62821310138013,3.60794008766356,3.6484861150967
"9:independence",3.6318038298988,3.6095970977374,3.65401056206021
"10:independence",3.57589111630562,3.55263701417576,3.59914521843547
