"","means","2.5 %","97.5 %"
"1:general",3.50974147927966,3.49531980986411,3.5241631486952
"2:general",3.55077393422931,3.5371746129082,3.56437325555042
"3:general",3.52975119261383,3.51505826856137,3.54444411666628
"4:general",3.54871257968372,3.53264700114211,3.56477815822533
"5:general",3.54821125456811,3.53164388054742,3.5647786285888
"6:general",3.49295763142014,3.47478092088996,3.51113434195032
"7:general",3.45927370979982,3.43933735085384,3.4792100687458
"8:general",3.49523744057979,3.47447485643582,3.51600002472376
"9:general",3.4425465387888,3.41972199152632,3.46537108605128
"10:general",3.40924800479512,3.38424240399464,3.43425360559559
"1:living",3.52822257884562,3.51457622178135,3.5418689359099
"2:living",3.57042600459168,3.55680854588339,3.58404346329997
"3:living",3.51985989013083,3.50423412772396,3.53548565253771
"4:living",3.52780827027123,3.50880988937715,3.54680665116531
"5:living",3.51501990024412,3.49636988599922,3.53366991448902
"6:living",3.45181927761993,3.43223667050222,3.47140188473764
"7:living",3.45664572385631,3.43486229198211,3.47842915573052
"8:living",3.45241696678729,3.43040818812686,3.47442574544771
"9:living",3.42334139575382,3.40027545587853,3.44640733562911
"10:living",3.39669438215479,3.36994339785962,3.42344536644996
"1:home",3.45307785650607,3.43859899420224,3.46755671880989
"2:home",3.47578515858789,3.46127849538318,3.4902918217926
"3:home",3.43331121545143,3.41797575848324,3.44864667241962
"4:home",3.47354573433346,3.45566185884467,3.49142960982226
"5:home",3.4972957829054,3.47883696387186,3.51575460193894
"6:home",3.43094477268184,3.41087244515421,3.45101710020948
"7:home",3.43854485079713,3.41865096149832,3.45843874009593
"8:home",3.45786024587537,3.43584865326298,3.47987183848776
"9:home",3.42013218158935,3.39483666549433,3.44542769768437
"10:home",3.42615736879729,3.40130451066913,3.45101022692546
"1:future",3.30415782148414,3.29009220388258,3.3182234390857
"2:future",3.32733437907025,3.31268676145529,3.34198199668521
"3:future",3.32624409950319,3.31046460081891,3.34202359818747
"4:future",3.39521283192528,3.37852993604451,3.41189572780604
"5:future",3.42073958992825,3.4028051714067,3.4386740084498
"6:future",3.38049002647107,3.36194614974905,3.39903390319309
"7:future",3.37653805147599,3.35548767982348,3.3975884231285
