"","x"
"work",3.28075553797468
"lesiure",3.55801534129527
"people",3.5355790699932
"money",3.05623159960746
"social",3.47372000388614
"independence",3.35836409558966
"career",3.22018257590792
"future",3.28031590522843
"general",3.42907180385289
"living",3.61043123543124
"location",3.505389919394
"home",3.54918351477449
"work.1",3.21362932369644
"lesiure.1",3.47540646223503
"people.1",3.57633391590418
"money.1",3.00165340498088
"social.1",3.54057389694539
"independence.1",3.48291829594567
"career.1",3.26638699528055
"future.1",3.31099620092866
"general.1",3.48955868737784
"living.1",3.61274409044193
"location.1",3.50678872659947
"home.1",3.51604938271605
"work.2",3.25627219612785
"lesiure.2",3.47342609489051
"people.2",3.60093415356573
"money.2",2.96796705182473
"social.2",3.54811858608894
"independence.2",3.6193842645382
"career.2",3.32174214417745
"future.2",3.38299859878561
"general.2",3.49675139632965
"living.2",3.62079580435526
"location.2",3.50632911392405
"home.2",3.51957539093711
"work.3",3.26125781349662
"lesiure.3",3.46768253968254
"people.3",3.59424150177575
"money.3",2.9802748791041
"social.3",3.52672337184207
"independence.3",3.63001523616049
"career.3",3.35112142304718
"future.3",3.42117525239451
"living.3",3.60951173113507
"location.3",3.50336251744702
"home.3",3.53125
"general.3",3.51523229246002
"work.4",3.26781794233865
"lesiure.4",3.46146000291418
"people.4",3.58349104673169
"money.4",2.96843028354282
"social.4",3.52208776789619
"independence.4",3.63555620267909
"career.4",3.33279387965279
"future.4",3.43689894954875
"home.4",3.51107548819586
"living.4",3.57336244541485
"location.4",3.46307356154406
"general.4",3.52498907183447
"work.5",3.25107509096924
"lesiure.5",3.42786642539891
"people.5",3.57246020022977
"money.5",2.96639762806786
"social.5",3.4858692080184
"independence.5",3.62011173184358
"career.5",3.32418496340652
"future.5",3.42369210263246
"home.5",3.49819435325016
"living.5",3.52823374917925
"location.5",3.45429181027409
"general.5",3.52093939891608
"work.6",3.2647390161472
"lesiure.6",3.4326042250888
"people.6",3.57383177570093
"money.6",2.97455089820359
"social.6",3.45893358278765
"independence.6",3.62056074766355
"career.6",3.32567338481823
"future.6",3.45096190116937
"home.6",3.5073817977948
"living.6",3.51383177570093
"location.6",3.45344053851907
"general.6",3.52834424695978
"work.7",3.30406714009038
"lesiure.7",3.44833512352309
"people.7",3.60433662516101
"money.7",3.00494517308106
"social.7",3.46206748334408
"independence.7",3.66280068728522
"career.7",3.34671848013817
"future.7",3.48518278174346
"home.7",3.56259394459953
"living.7",3.5391061452514
"location.7",3.47883086180959
"general.7",3.55252416756176
"work.8",3.29144893111639
"lesiure.8",3.43192043570921
"people.8",3.58057655954631
"money.8",3.02795546079128
"social.8",3.43701252658946
"independence.8",3.65128933049444
"career.8",3.35833333333333
"future.8",3.48095238095238
"home.8",3.54455211533916
"living.8",3.52080378250591
"location.8",3.45456696639849
"general.8",3.52224325603407
"work.9",3.24871399176955
"lesiure.9",3.38682389130992
"people.9",3.51957022256332
"money.9",3.00513610683102
"social.9",3.37432744043044
"independence.9",3.59795396419437
"career.9",3.28236204228984
"future.9",3.43315231445565
"home.9",3.50307062436029
"living.9",3.46637688570698
"location.9",3.40286664960328
"general.9",3.47837215254671
