"","career.X","career.means","career.X2.5..","career.X97.5..","future.X","future.means","future.X2.5..","future.X97.5..","general.X","general.means","general.X2.5..","general.X97.5..","home.X","home.means","home.X2.5..","home.X97.5..","independence.X","independence.means","independence.X2.5..","independence.X97.5..","lesiure.X","lesiure.means","lesiure.X2.5..","lesiure.X97.5..","living.X","living.means","living.X2.5..","living.X97.5..","location.X","location.means","location.X2.5..","location.X97.5..","money.X","money.means","money.X2.5..","money.X97.5..","people.X","people.means","people.X2.5..","people.X97.5..","social.X","social.means","social.X2.5..","social.X97.5..","work.X","work.means","work.X2.5..","work.X97.5..","wave","age","year","cohort"
"41","career",3.21509234280485,3.20119161050214,3.22899307510755,"future",3.27252250093425,3.25998990278722,3.28505509908127,"general",3.43144023196646,3.41960855955601,3.44327190437691,"home",3.55407524961911,3.54180207500477,3.56634842423344,"independence",3.36034487122043,3.34646665106358,3.37422309137728,"lesiure",3.56036380385644,3.54833659102798,3.5723910166849,"living",3.6041714598217,3.5928847200822,3.6154581995612,"location",3.5038513224237,3.4902643162877,3.5174383285597,"money",3.05344144761946,3.03715995249246,3.06972294274647,"people",3.54437916898556,3.53316997338848,3.55558836458264,"social",3.47853707365846,3.46591103676767,3.49116311054925,"work",3.28188513000664,3.26874328204706,3.29502697796622,1,15,1996,"y95"
"42","career",3.25596697647239,3.24184961147187,3.2700843414729,"future",3.29934677088527,3.2862166252512,3.31247691651935,"general",3.48941809927049,3.47700773974199,3.50182845879899,"home",3.51790189011048,3.50508466352218,3.53071911669879,"independence",3.482749271445,3.46921010448309,3.49628843840691,"lesiure",3.47497218984062,3.4620866895867,3.48785769009455,"living",3.60223796027471,3.59047212569171,3.61400379485771,"location",3.49909212627434,3.48525164190893,3.51293261063974,"money",2.98850080226682,2.97104454383654,3.0059570606971,"people",3.57946827513095,3.56799267766566,3.59094387259624,"social",3.54096873120042,3.52784457941402,3.55409288298682,"work",3.21621967806387,3.2036322379289,3.22880711819884,2,16,1997,"y95"
"43","career",3.31444603393026,3.29879183419966,3.33010023366087,"future",3.29866203419239,3.2844725896541,3.31285147873069,"general",3.49435026639327,3.48096850058312,3.50773203220341,"home",3.52290240304602,3.50911505811086,3.53668974798117,"independence",3.60990055676757,3.59633517060998,3.62346594292517,"lesiure",3.46657952491412,3.45220148190776,3.48095756792048,"living",3.6096507211304,3.59687430014056,3.62242714212024,"location",3.50037993293736,3.48512318237131,3.51563668350342,"money",2.96977248370043,2.95136289553936,2.9881820718615,"people",3.59997615777712,3.58773325936211,3.61221905619212,"social",3.54201615389822,3.52754207500686,3.55649023278957,"work",3.26104580745001,3.24607735457111,3.2760142603289,3,17,1998,"y95"
"44","career",3.33676534663148,3.32075560540802,3.35277508785494,"future",3.40297913483765,3.38898099266484,3.41697727701046,"general",3.51401582353854,3.5007507876308,3.52728085944628,"home",3.53020353464433,3.51586790007043,3.54453916921823,"independence",3.62003504569156,3.60602157622797,3.63404851515514,"lesiure",3.46929593056872,3.454774011892,3.48381784924545,"living",3.59772539681532,3.58441976570639,3.61103102792425,"location",3.4944837630764,3.4787980831004,3.51016944305241,"money",2.96962112858021,2.95094560006688,2.98829665709354,"people",3.59437363385202,3.58155922359392,3.60718804411011,"social",3.5275631578134,3.51291445063042,3.54221186499638,"work",3.26310568879069,3.24781716840537,3.278394209176,4,18,1999,"y95"
"45","career",3.31981196712339,3.30212868262878,3.337495251618,"future",3.42507650324984,3.40980482589725,3.44034818060243,"general",3.52059771074258,3.50590711227595,3.53528830920921,"home",3.51214518761302,3.49649867389142,3.52779170133463,"independence",3.62468258186602,3.60941161812278,3.63995354560927,"lesiure",3.45955882106814,3.44357599207386,3.47554165006242,"living",3.55944905645466,3.54436184036014,3.57453627254918,"location",3.45519551857482,3.43843430853213,3.47195672861751,"money",2.96316043477018,2.94324157030465,2.98307929923571,"people",3.57863165326733,3.56426474505767,3.59299856147698,"social",3.51808325965598,3.50163341337116,3.5345331059408,"work",3.27397847956872,3.2573400603583,3.29061689877913,5,19,2000,"y95"
"46","career",3.30432840637084,3.28487173813086,3.32378507461083,"future",3.40648275238154,3.38988170281647,3.42308380194661,"general",3.51803646189615,3.50244756107289,3.53362536271941,"home",3.49734350985459,3.48055473681542,3.51413228289375,"independence",3.61180290322424,3.5958482925864,3.62775751386208,"lesiure",3.42407169140262,3.4062288896525,3.44191449315275,"living",3.51508619044224,3.49842060423783,3.53175177664665,"location",3.44916336719706,3.43092751983804,3.46739921455609,"money",2.94942271038112,2.92752667173217,2.97131874903007,"people",3.57219704054215,3.55695178143573,3.58744229964858,"social",3.47993629332859,3.46259034414033,3.49728224251686,"work",3.25846720275328,3.24077084137141,3.27616356413514,6,20,2001,"y95"
"47","career",3.30871055004259,3.28751221406637,3.3299088860188,"future",3.43875669124125,3.42042526201913,3.45708812046336,"general",3.5297339078361,3.51302184511986,3.54644597055235,"home",3.50455528972652,3.48645039238893,3.5226601870641,"independence",3.60991907448784,3.59172897243559,3.62810917654009,"lesiure",3.43906445573813,3.42064975426479,3.45747915721147,"living",3.50861673157764,3.49097414544262,3.52625931771266,"location",3.45169293150586,3.43100569427045,3.47238016874127,"money",2.96547927106996,2.94196810790022,2.9889904342397,"people",3.57680107086796,3.56015422685775,3.59344791487817,"social",3.45664212363207,3.43686086355528,3.47642338370886,"work",3.26660555224728,3.24683177398401,3.28637933051055,7,21,2002,"y95"
"48","career",3.31843143247559,3.29347420975334,3.34338865519784,"future",3.46384386598213,3.44233035748083,3.48535737448343,"general",3.55604617423744,3.53728750869776,3.57480483977713,"home",3.5614209412623,3.54122543308001,3.58161644944459,"independence",3.64472224620605,3.62333516856132,3.66610932385079,"lesiure",3.44309821086754,3.4217243822264,3.46447203950868,"living",3.53092552070223,3.51106135791996,3.5507896834845,"location",3.47573362436057,3.45363967795775,3.49782757076339,"money",2.98963682139688,2.96420303337948,3.01507060941427,"people",3.60494970653407,3.58644427253678,3.62345514053137,"social",3.4643120092194,3.44219911126731,3.48642490717149,"work",3.30128755273118,3.27888909978287,3.3236860056795,8,22,2003,"y95"
"49","career",3.34518093455775,3.32028754234581,3.37007432676969,"future",3.47129548407194,3.44908979871685,3.49350116942704,"general",3.53028660712509,3.51042138277422,3.55015183147596,"home",3.54005884663751,3.51984213043191,3.56027556284311,"independence",3.63429622447928,3.61348083227577,3.65511161668279,"lesiure",3.4270865207081,3.40470703452933,3.44946600688687,"living",3.51576388429621,3.49503028490165,3.53649748369076,"location",3.45106328518229,3.42835289266845,3.47377367769614,"money",3.02383361357256,2.99783541174414,3.04983181540098,"people",3.58768342891842,3.56812278601678,3.60724407182007,"social",3.43256649063498,3.40894774760709,3.45618523366287,"work",3.3058107680588,3.28333599444662,3.32828554167098,9,23,2004,"y95"
"50","career",3.26142720125417,3.23503918826147,3.28781521424687,"future",3.41603419667599,3.39335833887846,3.43871005447351,"general",3.48430037396101,3.46283032745101,3.505770420471,"home",3.50449967975825,3.48176680638059,3.52723255313591,"independence",3.5699350542477,3.54550458645336,3.59436552204204,"lesiure",3.37944226847839,3.35616989915698,3.4027146377998,"living",3.45424733781994,3.431694724342,3.47679995129789,"location",3.3874255933603,3.36271122736345,3.41213995935716,"money",2.9787312792342,2.94985446428827,3.00760809418013,"people",3.52268030518071,3.5016655732564,3.54369503710501,"social",3.3747229167587,3.34895802139644,3.40048781212097,"work",3.25080395583949,3.22621240338871,3.27539550829026,10,24,2005,"y95"
