"","x"
"work",3.13572660629582
"lesiure",3.44662169397152
"people",3.51672025723473
"money",3.06631328429251
"social",3.52456554387471
"independence",3.37420877588242
"career",3.24213630406291
"future",3.29358100681468
"home",3.45925925925926
"living",3.56037251123956
"location",3.43183279742765
"general",3.5475321888412
"work.1",3.16550731590309
"lesiure.1",3.44779332615716
"people.1",3.5400692702735
"money.1",3.01367398344728
"social.1",3.54323936932633
"independence.1",3.46356033452808
"career.1",3.29570670525808
"future.1",3.34081806044423
"home.1",3.48321185326801
"living.1",3.57298136645963
"location.1",3.44725839206785
"general.1",3.5628735357399
"work.2",3.19260995450159
"lesiure.2",3.42347288949897
"people.2",3.51715148188803
"money.2",2.9470782800441
"social.2",3.49773507206589
"independence.2",3.48977069888782
"career.2",3.2780244173141
"future.2",3.33792048929664
"home.2",3.44197225655817
"living.2",3.53476889315595
"location.2",3.41475477400742
"general.2",3.5375635214943
"work.3",3.19662474128324
"lesiure.3",3.37779540047581
"people.3",3.48550150530819
"money.3",3.00493630573248
"social.3",3.43492063492063
"independence.3",3.46083095464637
"career.3",3.28619313647247
"future.3",3.34762438009918
"home.3",3.42007611798287
"living.3",3.4797147385103
"location.3",3.39711477488903
"general.3",3.48094633216894
"future.4",3.42342676814554
"work.4",3.25449490268767
"lesiure.4",3.42001109672647
"people.4",3.53748153618907
"money.4",3.01988477978071
"social.4",3.46719645167252
"independence.4",3.53630149639756
"career.4",3.35396590066716
"home.4",3.49491963790874
"living.4",3.53665743305632
"location.4",3.44142645971914
"general.4",3.54547134935305
"future.5",3.34915106660862
"work.5",3.18583495776478
"lesiure.5",3.32237266279819
"people.5",3.4457805454155
"money.5",2.98057414202461
"social.5",3.32560137457045
"independence.5",3.45768900343643
"career.5",3.24216027874564
"home.5",3.41477028767711
"living.5",3.47275847275847
"location.5",3.36088449978532
"general.5",3.44583243592505
"future.6",3.34148185483871
"work.6",3.13132075471698
"lesiure.6",3.28503503503504
"people.6",3.42253873063468
"money.6",2.9492079456877
"social.6",3.25807259073842
"independence.6",3.47402597402597
"career.6",3.20121028744327
"home.6",3.4009009009009
"living.6",3.43664083979005
"location.6",3.3375812093953
"general.6",3.40501253132832
