"","means","2.5 %","97.5 %"
"1:general",3.55203108283997,3.53962507329122,3.56443709238872
"2:general",3.56477993950477,3.55194268063567,3.57761719837386
"3:general",3.54210841659927,3.5278630321138,3.55635380108473
"4:general",3.48454619964508,3.46894156667695,3.50015083261321
"5:general",3.54906411798286,3.53170629244024,3.56642194352549
"6:general",3.43928549219596,3.41976632750363,3.45880465688829
"7:general",3.40685291183143,3.38262984352205,3.43107598014081
"1:living",3.55272270579361,3.54030094325025,3.56514446833696
"2:living",3.56618564375044,3.55320037197442,3.57917091552646
"3:living",3.5193781504531,3.5046666978776,3.5340896030286
"4:living",3.45978982439204,3.44325372899538,3.47632591978869
"5:living",3.52650764531541,3.50844271040474,3.54457258022607
"6:living",3.46005986324461,3.43980879874757,3.48031092774165
"7:living",3.42168847220962,3.3989791329308,3.44439781148844
"1:home",3.46166756608771,3.44844515291359,3.47488997926183
"2:home",3.48771019360564,3.47406211930251,3.50135826790877
"3:home",3.43938731213758,3.42399344759016,3.45478117668501
"4:home",3.42339229219378,3.40672786880676,3.4400567155808
"5:home",3.49726508427329,3.47929151907215,3.51523864947442
"6:home",3.41379452392862,3.39361904637833,3.43397000147891
"7:home",3.39390194928668,3.37128931588225,3.4165145826911
"1:future",3.29367599355983,3.28105241661618,3.30629957050348
"2:future",3.34880061196351,3.33524268302292,3.36235854090409
"3:future",3.33008151386265,3.31488923109469,3.34527379663061
"4:future",3.33867593565135,3.32216207999915,3.35518979130356
"5:future",3.41383058266717,3.39495854980836,3.43270261552598
"6:future",3.34286797681767,3.32222369779694,3.3635122558384
"7:future",3.33393934670037,3.3117725685837,3.35610612481705
"1:career",3.2376565503287,3.22409338464204,3.25121971601535
"2:career",3.29712619268564,3.28272432790062,3.31152805747066
"3:career",3.2743829716694,3.25811271875607,3.29065322458274
"4:career",3.27889335660692,3.26110506517304,3.29668164804081
"5:career",3.34608718458963,3.32563487545584,3.36653949372341
"6:career",3.24209057159816,3.21930778201789,3.26487336117843
"7:career",3.20776192333681,3.18283901788639,3.23268482878722
"1:work",3.14131148230552,3.12882500846312,3.15379795614793
"2:work",3.17784622724692,3.16449307787705,3.19119937661678
"3:work",3.19463780723164,3.17908659449314,3.21018901997015
"4:work",3.19537847325372,3.17868609903893,3.21207084746851
"5:work",3.26084672430391,3.24128753505263,3.28040591355518
"6:work",3.19094925988632,3.16918566690568,3.21271285286695
"7:work",3.14661074656138,3.12266689605381,3.17055459706894
"1:money",3.07194352583207,3.05609275998424,3.0877942916799
"2:money",3.02052197766318,3.0037351116522,3.03730884367416
"3:money",2.94152221810703,2.9219917454811,2.96105269073297
"4:money",2.99599286289954,2.97585336906748,3.0161323567316
"5:money",3.01820002786636,2.99566519454622,3.04073486118651
"6:money",2.98572922579344,2.96008271765126,3.01137573393563
"7:money",2.94813689916283,2.9205417203453,2.97573207798037
"1:lesiure",3.4507252734034,3.4379477863991,3.4635027604077
"2:lesiure",3.45171237782975,3.4381277419355,3.465297013724
"3:lesiure",3.4246447969768,3.40984680285529,3.43944279109832
"4:lesiure",3.38016704838299,3.36354702679295,3.39678706997303
"5:lesiure",3.435825670124,3.4173087972168,3.45434254303121
"6:lesiure",3.33349289830688,3.31233613644936,3.35464966016439
"7:lesiure",3.2907839328787,3.26768864263099,3.31387922312641
"1:location",3.43053211960523,3.41674657461632,3.44431766459415
"2:location",3.45165652157309,3.43694680481406,3.46636623833213
"3:location",3.41576312872628,3.39968494346591,3.43184131398665
"4:location",3.38874412600391,3.37135350875591,3.40613474325192
"5:location",3.4465087782867,3.42708915729664,3.46592839927677
"6:location",3.358152595052,3.33649478337218,3.37981040673183
"7:location",3.33264812156648,3.30776870792295,3.35752753521
"1:social",3.52433223587506,3.51115290271625,3.53751156903388
"2:social",3.54816251957539,3.53457315649117,3.5617518826596
"3:social",3.50297002255147,3.48776743050208,3.51817261460085
"4:social",3.43632517235374,3.41948432272487,3.45316602198261
"5:social",3.47429199769469,3.45524626720586,3.49333772818353
"6:social",3.33621248702612,3.31371681655191,3.35870815750033
"7:social",3.26479460327986,3.23874424592782,3.2908449606319
"1:people",3.5223350045225,3.5093888682797,3.53528114076529
"2:people",3.54051900486036,3.52761665617977,3.55342135354095
"3:people",3.51183307279743,3.49739969290692,3.52626645268795
"4:people",3.48613566312094,3.47063420366589,3.50163712257599
"5:people",3.5451513593643,3.52821710612936,3.56208561259924
"6:people",3.443717999088,3.42435049665378,3.46308550152222
"7:people",3.42184054119509,3.39971484081351,3.44396624157668
"1:independence",3.37643004897307,3.36248668235501,3.39037341559113
"2:independence",3.46391610011561,3.44932279630328,3.47850940392794
"3:independence",3.48215604869603,3.46625953050519,3.49805256688688
"4:independence",3.4531986340079,3.4361499470911,3.47024732092471
"5:independence",3.53790022659637,3.51916973181932,3.55663072137342
"6:independence",3.4494227430844,3.42811778888286,3.47072769728593
"7:independence",3.46650862960452,3.44247520129818,3.49054205791087
