"","VUH","UH","H","VH"
"work",50,732,6256,2314
"lesiure",20,240,4368,4743
"people",10,100,4217,5041
"money",303,1401,5266,2373
"social",28,217,3833,5291
"independence",62,472,4496,4341
"career",59,705,5439,3034
"future",25,316,5615,3240
"home",35,287,4446,4604
"living",12,106,4087,5168
"location",67,399,4344,4562
"general",17,145,4172,5031
"work.1",52,493,5776,2326
"lesiure.1",18,242,4265,4151
"people.1",7,78,3618,4984
"money.1",235,1302,4978,2116
"social.1",22,182,3412,5068
"independence.1",35,316,3832,4501
"career.1",47,519,4952,3106
"future.1",18,244,5140,3153
"home.1",30,217,4000,4431
"living.1",8,109,3396,5174
"location.1",47,328,3772,4536
"general.1",11,74,3711,4885
"work.2",38,513,5142,1974
"lesiure.2",15,232,4027,3439
"people.2",3,62,3630,4019
"money.2",250,1360,4499,1588
"social.2",22,239,3357,4096
"independence.2",25,258,3187,4238
"career.2",35,485,4282,2839
"future.2",16,203,4334,3065
"home.2",21,199,3891,3600
"living.2",12,107,3276,4319
"location.2",49,392,3705,3569
"general.2",6,77,3453,4174
"work.3",31,363,4174,2053
"lesiure.3",12,159,3293,3190
"people.3",7,49,2852,3750
"money.3",180,1018,3945,1490
"social.3",14,213,2705,3722
"independence.3",17,204,2508,3926
"career.3",29,342,3375,2865
"future.3",11,139,3545,2898
"home.3",18,147,3128,3356
"living.3",11,101,2732,3810
"location.3",33,283,3071,3263
"general.3",7,46,2835,3766
"work.4",47,324,3655,2023
"lesiure.4",19,180,2934,2937
"people.4",15,52,2490,3510
"money.4",183,943,3622,1298
"social.4",26,196,2497,3349
"independence.4",26,195,2060,3783
"career.4",48,302,2955,2713
"future.4",20,126,3055,2796
"home.4",26,125,2655,3259
"living.4",28,120,2502,3422
"location.4",32,287,2664,3083
"general.4",6,59,2584,3418
"work.5",37,368,3514,1517
"lesiure.5",21,184,2888,2373
"people.5",4,60,2553,2852
"money.5",137,860,3404,1058
"social.5",14,196,2648,2615
"independence.5",25,160,2195,3088
"career.5",35,406,2964,2028
"future.5",14,108,3009,2294
"home.5",20,99,2756,2595
"living.5",10,102,2589,2771
"location.5",27,270,2770,2396
"general.5",5,51,2599,2806
"work.6",45,337,3066,1438
"lesiure.6",18,189,2627,2060
"people.6",4,52,2369,2473
"money.6",103,787,3061,933
"social.6",25,237,2475,2158
"independence.6",16,144,1967,2772
"career.6",37,339,2672,1823
"future.6",11,115,2669,2069
"home.6",12,108,2470,2304
"living.6",9,98,2272,2518
"location.6",28,242,2440,2186
"general.6",5,70,2465,2351
"future.7",13,91,2221,2082
"work.7",16,288,2727,1368
"lesiure.7",9,139,2408,1861
"people.7",9,52,2014,2351
"money.7",91,628,2797,885
"social.7",18,196,2256,1954
"independence.7",8,123,1682,2605
"career.7",22,278,2290,1808
"home.7",13,85,2150,2173
"living.7",9,72,2123,2221
"location.7",24,207,2265,1925
"general.7",6,47,2130,2236
"future.8",7,107,2071,1713
"work.8",27,327,2475,1084
"lesiure.8",14,210,2247,1457
"people.8",13,77,1984,1865
"money.8",120,594,2441,761
"social.8",32,286,2164,1450
"independence.8",16,133,1629,2155
"career.8",37,300,2193,1366
"home.8",13,122,1978,1824
"living.8",5,102,1988,1845
"location.8",32,261,2053,1588
"general.8",8,85,2046,1788
"future.9",16,101,1898,1528
"work.9",46,290,2330,876
"lesiure.9",29,204,2023,1308
"people.9",12,90,1832,1633
"money.9",122,564,2233,627
"social.9",43,293,1983,1241
"independence.9",28,127,1479,1931
"career.9",46,293,2100,1098
"home.9",14,129,1801,1620
"living.9",13,94,1857,1604
"location.9",36,223,1894,1409
"general.9",13,97,1927,1521
