"","VUH","UH","H","VH"
"work",40,604,6879,1943
"lesiure",23,287,5182,4030
"people",13,100,4768,4645
"money",249,1477,5790,1937
"social",39,272,4655,4558
"independence",78,598,5184,3625
"career",39,635,5853,2621
"future",18,341,5968,2691
"general",18,178,5140,4165
"living",9,79,4689,4747
"location",55,478,5001,3986
"home",35,300,5153,4024
"work.1",63,465,6006,2198
"lesiure.1",20,252,4240,4248
"people.1",10,58,3716,4987
"money.1",286,1394,5227,1808
"social.1",33,211,3663,4859
"independence.1",46,366,3935,4403
"career.1",37,495,4887,3166
"future.1",20,252,5059,3179
"home.1",35,216,4116,4382
"living.1",15,101,3559,5085
"location.1",55,393,4114,4193
"general.1",14,93,3790,4860
"work.2",49,485,5134,2023
"lesiure.2",24,242,4038,3439
"people.2",7,57,3559,4134
"money.2",237,1286,4772,1431
"social.2",39,221,3448,4046
"independence.2",34,250,3377,4090
"career.2",52,563,4230,2783
"future.2",29,229,4468,2852
"home.2",36,229,4010,3472
"living.2",15,111,3527,4100
"location.2",43,354,3820,3537
"general.2",12,95,3678,3960
"work.3",53,415,4354,2061
"lesiure.3",20,227,3425,3225
"people.3",4,59,2981,3858
"money.3",210,1133,4228,1312
"social.3",25,238,2997,3639
"independence.3",27,204,2753,3914
"career.3",45,500,3660,2605
"future.3",15,205,3825,2730
"home.3",16,202,3400,3281
"living.3",12,130,3053,3706
"location.3",35,357,3267,3236
"general.3",6,73,3197,3623
"work.4",47,323,3543,2045
"lesiure.4",20,175,2762,3009
"people.4",22,51,2315,3585
"money.4",172,885,3639,1264
"social.4",38,188,2420,3326
"independence.4",29,182,1980,3782
"career.4",51,379,2925,2577
"future.4",24,136,2954,2792
"home.4",24,158,2588,3205
"living.4",16,115,2372,3472
"location.4",44,254,2534,3132
"general.4",11,49,2502,3412
"work.5",39,270,3399,1609
"lesiure.5",12,150,2647,2530
"people.5",7,40,2249,3059
"money.5",129,786,3417,1004
"social.5",20,184,2365,2777
"independence.5",21,149,1926,3257
"career.5",29,298,2770,2217
"future.5",11,105,2741,2436
"home.5",19,116,2469,2746
"living.5",9,90,2378,2875
"location.5",32,232,2502,2587
"general.5",4,43,2435,2869
"work.6",40,242,2827,1590
"lesiure.6",14,126,2401,2182
"people.6",3,25,1943,2756
"money.6",117,628,2989,977
"social.6",16,172,2195,2337
"independence.6",12,116,1670,2925
"career.6",34,244,2328,2088
"future.6",9,89,2377,2217
"home.6",12,95,2127,2490
"living.6",9,74,2114,2528
"location.6",22,225,2193,2281
"general.6",6,30,2123,2561
"work.7",26,208,2424,1523
"lesiure.7",13,121,2122,1946
"people.7",4,28,1683,2494
"money.7",96,522,2682,896
"social.7",20,149,1944,2090
"independence.7",13,100,1344,2750
"career.7",24,197,2012,1950
"future.7",14,70,1955,2140
"home.7",11,62,1825,2308
"living.7",8,75,1845,2282
"location.7",29,174,1897,2105
"general.7",6,37,1856,2306
"work.8",37,180,2194,1436
"lesiure.8",17,133,1929,1773
"people.8",11,24,1530,2291
"money.8",73,519,2422,834
"social.8",24,176,1789,1867
"independence.8",22,86,1174,2573
"career.8",29,214,1887,1694
"future.8",18,67,1813,1935
"home.8",19,69,1605,2161
"living.8",20,75,1687,2072
"location.8",39,152,1738,1923
"general.8",2,41,1700,2112
"work.9",25,226,2210,1113
"lesiure.9",13,114,1943,1519
"people.9",0,36,1606,1953
"money.9",74,466,2308,734
"social.9",15,156,1814,1606
"independence.9",9,82,1268,2233
"career.9",21,219,2014,1311
"future.9",7,53,1848,1658
"home.9",6,57,1617,1916
"living.9",4,63,1687,1838
"location.9",17,165,1724,1686
"general.9",5,37,1694,1855
