"","means","2.5 %","97.5 %"
"1:general",3.43123723037298,3.41938536867216,3.44308909207381
"2:general",3.48948156556507,3.47705891797382,3.50190421315631
"3:general",3.49434186508967,3.4809544290015,3.50772930117784
"4:general",3.51414396240482,3.50089853982029,3.52738938498935
"5:general",3.52059513027596,3.50590312610036,3.53528713445156
"6:general",3.51800704585262,3.50241893239516,3.53359515931008
"7:general",3.52953677409659,3.51283388120709,3.5462396669861
"8:general",3.55603980444421,3.53727991432043,3.57479969456798
"9:general",3.53012985464842,3.5102562725083,3.55000343678854
"10:general",3.48460106181847,3.46314943656608,3.50605268707086
"1:living",3.60403961183073,3.59275487334133,3.61532435032012
"2:living",3.60229344185927,3.59053571442876,3.61405116928977
"3:living",3.60963343031419,3.59686211142512,3.62240474920325
"4:living",3.59771420212342,3.5844022066922,3.61102619755463
"5:living",3.55944148280386,3.54435449447781,3.5745284711299
"6:living",3.51510570243604,3.49844271785351,3.53176868701857
"7:living",3.50858001066934,3.49094004151553,3.52621997982315
"8:living",3.53099860288119,3.51113543996784,3.55086176579454
"9:living",3.51594204461235,3.49520528357278,3.53667880565191
"10:living",3.45424239971398,3.43168583325588,3.47679896617207
"1:home",3.55403976629783,3.54177934218733,3.56630019040832
"2:home",3.51798248628865,3.50516958125677,3.53079539132053
"3:home",3.52276005613004,3.5089713020364,3.53654881022369
"4:home",3.53010142934399,3.5157440377552,3.54445882093279
"5:home",3.51219755655968,3.49656198809635,3.52783312502301
"6:home",3.49721640024485,3.48041913431334,3.51401366617636
"7:home",3.50442361255951,3.48632507629316,3.52252214882585
"8:home",3.56131148515359,3.54109790561392,3.58152506469325
"9:home",3.54024231227705,3.520030473784,3.56045415077011
"10:home",3.50448823538339,3.48177979448141,3.52719667628538
"1:future",3.27197927612301,3.25920235670955,3.28475619553647
"2:future",3.29844951093561,3.28532487488063,3.31157414699059
"3:future",3.2985607566097,3.28471564470717,3.31240586851222
"4:future",3.40343958056657,3.38934470346751,3.41753445766562
"5:future",3.42465083334208,3.40929319791769,3.44000846876648
"6:future",3.40613378671068,3.38952327887934,3.42274429454201
"7:future",3.43836582649487,3.41994280368364,3.45678884930609
"8:future",3.46471398572927,3.44339831102296,3.48602966043558
"9:future",3.47122799852484,3.4489889884088,3.49346700864087
"10:future",3.4166236093339,3.39373505705118,3.43951216161662
"1:career",3.21509410943605,3.20116902723117,3.22901919164093
"2:career",3.25565563852067,3.24146330385356,3.26984797318777
"3:career",3.31432642476706,3.29861854096721,3.33003430856691
"4:career",3.3368558322298,3.32074649717143,3.35296516728818
